bcdef,afec,abed,ace,adcbf,aeb
bcde,aef,afed,ace,adcfb,bec
bcd,aec,abefd,acf,bfc,ced
bcd,ade,aef,afeb,bdfc,ced
bcd,ade,aef,afb,bfc,ced
bcde,aecf,afbed,ace,adcb,bc
bcd,aec,abed,acef,bfdc,de
bc,adec,abef,be,bdfc,ce
bcd,aedcf,afbd,acbe,bd,bc
bcd,aecf,afbd,ace,bd,bc
bcd,aedcf,afb,abe,bd,bc
bcd,aecf,afb,ae,bd,bc
bcd,aef,af,ae,bd,bc
bcde,afec,abd,ace,adbf,be
bcde,afed,ad,acbe,adbf,be
bcde,afdc,abd,acbe,adf,be
bcd,aec,abed,acf,bfc,de
bcde,aef,afd,acfe,adfb,bedc
bcdef,afc,abfed,ac,acf,aecb
bcde,afdc,abd,acbfe,ad,bd
bcd,aec,abefd,ac,bfc,ce
bc,adefc,ab,be,bdf,be
bcde,adf,afd,acfbe,ad,bdc
bcde,adf,afd,acbe,ad,bc
bcd,aef,af,afe,bd,bdc
bcd,aefdc,ab,abf,bf,bed
bc,ad,ade,bfec,cdf,de
bcd,ad,ae,afeb,cdf,de
bcd,ad,ae,afb,cf,de
bc,ad,ae,bf,cf,de
bcd,aef,af,afe,bdf,bedc
bcd,ae,af,afe,bdf,ced
bcde,afc,abfd,ac,af,bec
bcde,aecf,afbed,ac,acb,bc
bcde,aecf,afbd,ac,ab,bc
bcde,aef,afd,ac,ab,bc
bcde,aef,af,afe,adfb,bedc
bcdef,ac,abfed,ac,acf,aec
bcde,afd,ad,acbfe,ad,bd
bcde,af,ad,acfe,ad,bd
bcdef,ad,ad,acbfe,ad,ad
bcde,af,af,af,af,bedc
bcdef,afc,abfed,ac,ac,acb
bcde,afc,abfed,ac,ac,bc
bcd,aefdc,ab,ab,bf,be
bc,ad,ad,befc,df,de
bcde,acf,afbed,ac,ac,bc
bcd,ae,ae,aef,bfdc,de
bcde,ae,ae,af,afcb,de
bcd,ae,ae,af,bfc,de
bcde,aef,af,af,afb,bedc
bcdef,afc,abfed,ace,adc,acb
bcde,aef,aed,ace,adcfb,be
bcde,aef,ad,ace,adfb,be
bcd,adcef,abd,acb,bf,be
bcd,adef,ad,acb,bf,be
bc,acd,ab,bef,df,de
bcde,acf,afbed,ace,adc,bc
bcde,af,afed,ace,adc,bc
bcd,aec,abe,af,bfc,de
bcd,aec,abe,aef,bfdc,de
bcd,ac,abe,aef,cfd,de
bcde,afec,abd,ac,abf,be
bcd,aec,ab,aef,bfd,de
bcde,ac,ab,aef,afd,de
bcde,ac,abe,aef,afdc,de
bcde,aef,afd,acf,afb,bedc
bcde,aefc,abfd,acfe,adfb,bedc
