name,native notation,em,pd,yamada,chiralily,page,bonded
"(2,0,1,1)_1","a=V(a1 a0 b0) b=V(a2 b2 b1) ['name'='(2,0,1,1)_1']","a1a0b0,a2b2b1","V[0,0,1],V[1,2,2]",0,False,1,True
"(2,0,1,1)_2","a=V(b0 b2 b1) b=V(a0 a2 a1) ['name'='(2,0,1,1)_2']","b0b2b1,a0a2a1","V[0,1,2],V[0,2,1]",-A**4 - A**3 - 2*A**2 - A - 1,False,2,True
"(4,0,2,1)_1","a=V(a1 a0 b0) b=V(a2 c0 d0) c=V(b1 c2 c1) d=V(b2 d2 d1) ['name'='(4,0,2,1)_1']","a1a0b0,a2c0d0,b1c2c1,b2d2d1","V[0,0,1],V[1,2,3],V[2,4,4],V[3,5,5]",0,False,3,False
"(4,2,1,1)_1","a=V(b0 c0 d3) b=V(a0 d2 c1) c=X(a1 b2 d1 d0) d=X(c3 c2 b1 a2) ['name'='(4,2,1,1)_1']","b0c0d3,a0d2c1,a1b2d1d0,c3c2b1a2","V[0,1,2],V[0,3,4],X[1,4,5,6],X[6,5,3,2]",-A**9 - A**8 - A**7 - A**6 + A**3 + A**2 + A + 1,False,4,True
"(4,0,2,1)_2","a=V(b0 c0 d0) b=V(a0 d2 c1) c=V(a1 b2 d1) d=V(a2 c2 b1) ['name'='(4,0,2,1)_2']","b0c0d0,a0d2c1,a1b2d1,a2c2b1","V[0,1,2],V[0,3,4],V[1,4,5],V[2,5,3]",-A**6 - 2*A**4 - 2*A**2 - 1,False,5,True
"(5,3,1,1)_1","a=V(b0 c0 d3) b=V(a0 d2 e3) c=X(a1 e2 e1 d0) d=X(c3 e0 b1 a2) e=X(d1 c2 c1 b2) ['name'='(5,3,1,1)_1']","b0c0d3,a0d2e3,a1e2e1d0,c3e0b1a2,d1c2c1b2","V[0,1,2],V[0,3,4],X[1,5,6,7],X[7,8,3,2],X[8,6,5,4]",-A**12 - A**11 - A**10 - A**9 - A**8 - A**6 - A**4 + 1,True,6,True
"(6,4,1,1)_1","a=V(b0 c0 d3) b=X(a0 d2 d1 e0) c=X(a1 e2 f3 f2) d=X(f1 b2 b1 a2) e=V(b3 f0 c1) f=X(e1 d0 c3 c2) ['name'='(6,4,1,1)_1']","b0c0d3,a0d2d1e0,a1e2f3f2,f1b2b1a2,b3f0c1,e1d0c3c2","V[0,1,2],X[0,3,4,5],X[1,6,7,8],X[9,4,3,2],V[5,10,6],X[10,9,8,7]",-A**14 - A**13 - A**11 + A**9 + A**8 + 2*A**7 + A**6 + A**5 - A**3 - A - 1,False,7,True
"(6,4,1,2)_1","a=V(b0 c0 d3) b=V(a0 e0 f3) c=X(a1 f2 d1 d0) d=X(c3 c2 e1 a2) e=X(b1 d2 f1 f0) f=X(e3 e2 c1 b2) ['name'='(6,4,1,2)_1']","b0c0d3,a0e0f3,a1f2d1d0,c3c2e1a2,b1d2f1f0,e3e2c1b2","V[0,1,2],V[0,3,4],X[1,5,6,7],X[7,6,8,2],X[3,8,9,10],X[10,9,5,4]",-A**14 - A**13 - A**11 + A**9 + A**8 + 2*A**7 + A**6 + A**5 - A**3 - A - 1,False,8,True
"(6,4,1,1)_2","a=V(b0 c0 d3) b=V(a0 d2 c1) c=X(a1 b2 e3 f0) d=X(f3 e0 b1 a2) e=X(d1 f2 f1 c2) f=X(c3 e2 e1 d0) ['name'='(6,4,1,1)_2']","b0c0d3,a0d2c1,a1b2e3f0,f3e0b1a2,d1f2f1c2,c3e2e1d0","V[0,1,2],V[0,3,4],X[1,4,5,6],X[7,8,3,2],X[8,9,10,5],X[6,10,9,7]",A**15 + A**12 + A**9 + A**7 + A**5 + A**4 + A**2 - 1,True,9,True
"(6,4,1,2)_2","a=V(b0 c0 d3) b=V(a0 e0 f3) c=X(a1 f2 f1 d0) d=X(c3 e2 e1 a2) e=X(b1 d2 d1 f0) f=X(e3 c2 c1 b2) ['name'='(6,4,1,2)_2']","b0c0d3,a0e0f3,a1f2f1d0,c3e2e1a2,b1d2d1f0,e3c2c1b2","V[0,1,2],V[0,3,4],X[1,5,6,7],X[7,8,9,2],X[3,9,8,10],X[10,6,5,4]",A**14 + A**13 + A**12 + A**11 + 2*A**10 + A**9 + 2*A**8 + 2*A**7 + A**6 + A**5 + A**3 + A**2 + A + 2,True,10,True
